sample_id,group,myeloid_clusters,myeloid_subtype,Kupffer_resident_score1,Monocyte_derived_Mph_score1,Inflammatory_Mph_score1,Injury_response_Mph_score1,Neutrophil_score1,Activated_neutrophil_score1,Interferon_response_score1,Antigen_presentation_score1
con1,Control,3,DC-like antigen-presenting myeloid,-0.6099526843690206,-0.3986873958068213,-0.6144344210831443,0.1303896767460233,-0.48859006838688956,-0.7477643028454197,-0.477510680858439,2.6627480909767964
con1,Control,4,Inflammatory neutrophil,-0.6372688073895519,-0.5890208476898982,0.5182602006348499,-0.16013093084138919,0.5682060871974848,0.2740138933207945,0.06650107620872975,-0.509161570398617
con1,Control,3,DC-like antigen-presenting myeloid,-0.6499653204272285,2.0669797400954284,-0.3241654141892902,0.1980471527084946,-0.38703986107687505,-0.8949907455031668,-0.442895963454036,1.1687060081890264
con1,Control,6,Mature neutrophil,-0.49790196763001604,0.8023744036165148,-0.18645545307482475,-0.13570587022688574,3.182832015861213,-0.43187947319290865,0.36898756580720016,0.6301822560560623
con1,Control,7,Monocyte-derived macrophage,-0.6292649505982025,2.143325992370632,0.14976973328056598,0.4045826811565595,-0.49493241896606827,0.33067821609662107,-0.4876963652435502,0.009523531952879027
con1,Control,2,Antigen-presenting macrophage / Mo-Mac,0.44734141577925957,0.7753975108880824,0.030189973524776148,1.4723436787628,-0.17533121867831503,-0.3667838915168977,-0.018013922719565256,1.8670264742776574
con1,Control,15,Rare injury-associated macrophage-like cells,0.8298946233591825,0.15420897798439903,-0.24187826798620493,0.8931384855071978,-0.5377890981908038,-0.3701055230278145,-0.31611735045198674,-0.3461022804232522
con1,Control,4,Inflammatory neutrophil,-0.6683104167765276,-0.20049237000363052,0.23074375301693295,-0.28297179962709307,1.4578322923544795,-0.06258915822044786,-0.13895821188602847,-0.09272668874261214
con1,Control,2,Antigen-presenting macrophage / Mo-Mac,-0.6544337722664101,0.6045238150537288,0.11852904413673038,-0.5813044602030094,-0.08584310132600304,-0.4877402265700017,1.4986348106273484,2.9044417833797436
con1,Control,5,Activated neutrophil,-0.5770499376265774,-0.5502389996701071,0.25519266871104684,-0.024666890026726174,0.5133849338266046,0.3918349818135416,0.06886797827716501,1.6242216502167248
con1,Control,3,DC-like antigen-presenting myeloid,-0.5979878420968295,0.15302779482779783,0.4497813434764095,0.05337789321349973,-0.14689892353794098,-0.24458832639739791,-0.17613702921265806,2.543596817256463
con1,Control,1,Resident Kupffer cell,2.8282359889517474,0.4020063721564191,-0.10074543281164394,1.593405065790979,-0.43285227256310094,-0.4465503981596157,0.7087893145999862,1.5969402334388771
con1,Control,2,Antigen-presenting macrophage / Mo-Mac,0.39940251313605935,0.6426262735081449,-0.10215411633126348,1.9350579577118316,-0.37688590846726,-0.43833851279104596,-0.05133671191981959,1.6856265486962208
con1,Control,5,Activated neutrophil,-0.5992552650959286,-0.8201102953424516,0.5531273360822848,-0.054390319308106894,0.8750661107234305,0.309123649629677,-0.4315398013125702,1.4248389863996274
con1,Control,4,Inflammatory neutrophil,-0.6744953005996354,0.019136674895407935,0.09730569724213733,-0.041179428147299246,1.5270474296545333,0.2996307036712209,0.31927361769785884,-0.17815959793483183
con1,Control,3,DC-like antigen-presenting myeloid,-0.495424638929619,0.8931186848745298,-0.016440097770574313,0.13049279727068597,-0.5300378259779243,0.027775920459477188,0.06627814121073511,2.4860426851544863
con1,Control,3,DC-like antigen-presenting myeloid,-0.6936513222275905,0.5199932535540673,-0.6132989672957168,-0.2868348763870203,-0.3410547424712898,-1.0031025955135915,-0.36851811947883245,2.692282405566848
con1,Control,5,Activated neutrophil,-0.621634670820724,-0.8461202877698715,0.12274291449584229,-0.17417871513949112,0.7284509191836692,0.05212387587853384,-0.41100242868837544,1.450426406488983
con1,Control,7,Monocyte-derived macrophage,-0.5556264492038773,2.51654227647162,0.09896705665148853,0.7162066267758752,-0.5054540823523053,-0.1802148549692889,-0.3140836237563903,-0.17340275466789012
con1,Control,5,Activated neutrophil,-0.593313469354261,-0.6280236724030356,0.7951947631693449,-0.3187331079987767,1.320281489107885,0.07186825292806764,-0.4111455068771952,1.2646108016503068
con1,Control,7,Monocyte-derived macrophage,-0.5310709366552167,2.1810260565891135,-0.21098363531617892,0.8561585177528078,-0.30755020250859483,-1.0135444043415887,-0.3828439488769291,-0.0327629799419894
con1,Control,3,DC-like antigen-presenting myeloid,-0.7148177836675571,-0.2843959641290468,0.199911007729489,-0.14589227369619207,-0.2505360632186926,-0.7514659043841673,-0.23268045859644493,2.3609386253636586
con1,Control,0,Inflammatory neutrophil,-0.5534824685580341,0.8058596483103425,1.2403821056096875,0.00879377933067671,1.7723741989369937,0.8134468027663337,-0.3784358245186,0.19127269361232713
con1,Control,2,Antigen-presenting macrophage / Mo-Mac,-0.0876312112043226,0.7573073758595538,-0.5163097572612875,0.6081394584654906,-0.19073202242711818,-0.8913360348361516,-0.20256031727901536,2.238667894620029
con1,Control,0,Inflammatory neutrophil,-0.4879297511669328,0.1714757675260723,1.8220630823747306,0.5924650515296036,1.9767985192351125,1.9443032233940958,-0.09976588417262983,-0.3288517283564024
con1,Control,2,Antigen-presenting macrophage / Mo-Mac,0.7504115750507565,1.1628856919173496,0.4321603209799668,1.3293713828048013,-0.16693690828400187,0.5154038397791769,-0.41575874721499223,2.2303600897136358
con1,Control,4,Inflammatory neutrophil,-0.6494869438103597,-0.6829255908267231,0.7078631317680381,0.36848890691549296,0.975347332681482,1.230853848361551,0.4447192450579013,0.11765433742224762
con1,Control,3,DC-like antigen-presenting myeloid,-0.6344290124208413,0.11628402437926688,0.3349577173394236,-0.38618074777118766,-0.5268149931904444,-0.05285994888032253,-0.5406852717280002,2.333301672460904
con1,Control,7,Monocyte-derived macrophage,-0.5596995934186831,2.151848108875243,0.4414144932979399,0.9617118578462568,-0.35707302350933934,0.16145772852583407,-0.3764134172030376,-0.20579819532796895
con1,Control,2,Antigen-presenting macrophage / Mo-Mac,0.5211820420700626,0.6680753943445856,1.254331025226282,0.6085758114635155,-0.17836258559362772,0.951091326489731,0.07430153786693133,2.426814864608831
con1,Control,5,Activated neutrophil,-0.5906675669373752,-0.7942040485599036,-0.17323092375191818,-0.04017798979301035,1.05711380636138,-0.24455120518241424,-0.37935843050577855,1.4908010394943418
