sample_id,group,myeloid_clusters,myeloid_subtype,n_cells,Kupffer_resident_score1_mean,Monocyte_derived_Mph_score1_mean,Inflammatory_Mph_score1_mean,Injury_response_Mph_score1_mean,Neutrophil_score1_mean,Activated_neutrophil_score1_mean,Interferon_response_score1_mean,Antigen_presentation_score1_mean
con2,Control,14,CCR7+ DC-like antigen-presenting myeloid,4,-0.6295075875400324,-0.1864196905660537,0.4004185436925497,-0.13174984815568672,-0.4193945314786205,-0.2261981689021521,0.10047625856643015,2.596809670972845
con2,Control,15,Rare injury-associated macrophage-like cells,6,0.628645533243588,0.0763194612696298,0.1504595039669812,0.9567768481243275,-0.3736149188470287,-0.004250272765950654,-0.4258430103038106,-0.23815487569966465
con3,Control,0,Inflammatory neutrophil,639,-0.4454227476217611,-0.19122617828314686,0.7741319532349331,0.17461753116305295,1.8266056077012025,0.8217084266716477,-0.1570013194373101,-0.20295128684159702
con3,Control,1,Resident Kupffer cell,350,2.0340758155621432,0.11853590774068734,-0.14813964366069376,1.5179602451910765,-0.30125440610648807,-0.4581430122955205,0.0017591682259762084,0.7149177980216656
con3,Control,2,Antigen-presenting macrophage / Mo-Mac,127,0.22892902206195134,0.6643999810546907,0.37187680875909357,1.1828962507361558,-0.37660653708713343,-0.06561382602849251,0.020476479089757332,1.9183415370195362
con3,Control,3,DC-like antigen-presenting myeloid,140,-0.6045816796424848,0.23562758564780978,-0.06914295037404135,0.10711353506555339,-0.4529800006383214,-0.6904019247947762,-0.22330705399632972,2.0631656362518545
con3,Control,4,Inflammatory neutrophil,61,-0.5616658300212527,-0.2967222050972032,0.37759665428564276,0.06735797510568871,1.0465194871721155,0.16525784974578775,-0.0548718878790585,-0.295458701111556
con3,Control,5,Activated neutrophil,27,-0.49311414709153334,-0.45927806812923866,0.3102661091531715,0.1028177480238246,1.2261627814484455,0.16852790172734364,-0.3415821297766848,1.567324779501068
con3,Control,6,Mature neutrophil,29,-0.4377032500323049,0.8431991554916752,-0.08529501478050054,0.2826357885624377,3.212309815224338,-0.10421241311115705,-0.1573140156071175,-0.1331480767308589
con3,Control,7,Monocyte-derived macrophage,32,-0.6117191727863952,1.5250758652977436,-0.08292149205823568,0.7417437207435748,-0.39325417417291175,-0.5585535236749242,-0.26279460815107325,-0.03943754362028535
con3,Control,8,Activated inflammatory neutrophil,62,-0.4593774460496964,-0.2418214890145707,1.4661467278997042,0.34457362754122406,1.195615088280238,1.520680129114151,-0.12039130030846633,-0.1580070484143004
con3,Control,9,Possible doublet / hepatocyte ambient-contaminated neutrophil,131,-0.422043641306816,-0.14760193733505142,0.8115322694157956,0.30987213117668855,1.6523840365319418,0.7857386257439252,-0.1464267346308916,-0.1109622444990901
con3,Control,10,IFN-responsive inflammatory neutrophil,40,-0.44753494534918237,-0.30572557302959447,0.8662092225808733,0.1968459088808384,1.5638317206062204,0.9628588373381832,0.6790116544102374,-0.2093279706210728
con3,Control,11,Neutrophil with erythroid/ambient signal,5,-0.46157938009679905,0.09510535755591737,0.62665353252029,0.3863107369422526,1.7762383685044976,0.8465024460246525,-0.1995561098404143,0.09887545647758025
con3,Control,12,Antigen-presenting myeloid with lymphoid-like signal,18,0.17572199718111978,0.34263452080677304,-0.14427164438278117,0.6306327449987312,-0.4129111128027253,-0.5800765986876018,-0.031403625375029505,1.711049327458509
con3,Control,13,Cycling neutrophil,6,0.5884244319043573,0.44595056162731345,-0.4553883017082417,0.6872464772042279,0.9760609152614057,-0.8901224017941437,-0.20327486868593347,0.045630321913437695
con3,Control,14,CCR7+ DC-like antigen-presenting myeloid,6,-0.5363961151699399,-0.6171783061615908,0.12188793235018226,0.07872926419065582,-0.31901020558605386,-0.5113279312096153,-0.21281984157104455,2.4471595046589565
con3,Control,15,Rare injury-associated macrophage-like cells,2,0.9619026517130078,-0.011970462762024126,0.0941504506994606,1.0275715086380561,-0.5176251928498525,0.01001840854988345,-0.39653686337858607,0.5117825458816512
