"axis","pathway_name","n_lr_pairs","mean_score_control","mean_score_apap","mean_delta","max_delta"
"Kupffer cell -> Neutrophil","SPP1",1,0.873822792128416,0.804423251235748,-0.0693995408926684,-0.0693995408926684
"Fibroblast / stellate -> Kupffer cell","TENASCIN",3,0.0536594191530548,0.122404198547389,0.0687447793943347,0.208888963446835
"Fibroblast / stellate -> Kupffer cell","THBS",13,0.271149405791504,0.203278437790358,-0.0678709680011455,0.0506232016152674
"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like","CX3C",1,0.0736030996246754,0.00594675442267977,-0.0676563452019957,-0.0676563452019957
"Kupffer cell -> Endothelial","CD52",1,0.0316313459570078,0.0989741825778983,0.0673428366208904,0.0673428366208904
"Neutrophil -> Endothelial","GAS",1,0.103121727101262,0.0366835275721133,-0.0664381995291486,-0.0664381995291486
"Neutrophil -> Endothelial","ADGRE",3,0.125800314432174,0.0597691427676472,-0.0660311716645264,-0.0070125237383421
"Monocyte-derived macrophage / DC-like -> T cell","SEMA4",1,0.0982142380187978,0.0321848994697687,-0.0660293385490291,-0.0660293385490291
"Fibroblast / stellate -> Endothelial","ANGPTL",8,0.172845351833702,0.106881118432962,-0.0659642334007397,0.0229395406876539
"Fibroblast / stellate -> Endothelial","HSPG",1,0.119344758445911,0.185123388061981,0.0657786296160704,0.0657786296160704
"Fibroblast / stellate -> Kupffer cell","ANGPTL",9,0.309221907084923,0.243615934737048,-0.0656059723478755,0.0734777401973093
"Inflammatory neutrophil -> Endothelial","JAM",3,0.0696186709551901,0.00546311800243842,-0.0641555529527517,-0.04155324401831
"Monocyte-derived macrophage / DC-like -> T cell","CLEC",6,0.182841952860858,0.119544962023763,-0.0632969908370948,0.00731063315265339
"Neutrophil -> Endothelial","VEGF",2,0.107975364383712,0.170147974710357,0.0621726103266447,0.0959161824828741
"Monocyte-derived macrophage / DC-like -> NK cell","SELPLG",2,0.210919205380886,0.272608681428966,0.06168947604808,0.134481425236232
"Kupffer cell -> Endothelial","MPZ",1,0.0380303473719581,0.0996538846863848,0.0616235373144267,0.0616235373144267
"Kupffer cell -> Endothelial","PROS",2,0.110882874370437,0.049342241308818,-0.0615406330616187,-0.00458534927232973
"Fibroblast / stellate -> Endothelial","GALECTIN",4,0.184177442203495,0.245539190456682,0.0613617482531867,0.143399097162195
"Neutrophil -> Endothelial","SELL",2,0.243334787753674,0.182082223671123,-0.0612525640825505,-0.00765009715014531
"Inflammatory neutrophil -> Endothelial","CypA",1,0.570630673959932,0.631592161278828,0.0609614873188966,0.0609614873188966
"Inflammatory neutrophil -> Endothelial","GALECTIN",4,0.169637108966786,0.229400769231434,0.0597636602646476,0.13645003206991
"Monocyte-derived macrophage / DC-like -> NK cell","CD45",2,0.109685348039201,0.0502018925686833,-0.0594834554705181,-0.0401266833506658
"Kupffer cell -> Neutrophil","MHC-II",5,0.0971002662016133,0.0380952669365055,-0.0590049992651078,-0.0257819401305733
"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like","ADGRE",4,0.278808884370707,0.220002848882933,-0.0588060354877739,0.0466995726430857
"Kupffer cell -> Endothelial","ANGPTL",3,0.0897497062441207,0.0310420713340857,-0.058707634910035,-0.0112737565943452
"Neutrophil -> Endothelial","CDH5",1,0.0797746769217602,0.0211217756866233,-0.0586529012351368,-0.0586529012351368
"Kupffer cell -> Inflammatory neutrophil","PLAU",1,0.0691880908696561,0.0116212294938819,-0.0575668613757741,-0.0575668613757741
"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like","IGFBP",1,0.513409087346961,0.570497036629535,0.0570879492825743,0.0570879492825743
"Kupffer cell -> Endothelial","GRN",1,0.105839108271768,0.162060098955384,0.0562209906836164,0.0562209906836164
"Kupffer cell -> Neutrophil","SELPLG",2,0.257366284905537,0.202262716254352,-0.0551035686511847,-0.00432018117771486
