"source","target","ligand","receptor","pathway_name","annotation","score_control","exprL_control","exprR_control","score_apap","exprL_apap","exprR_apap","delta_score","max_score","axis"
"Fibroblast / stellate","Kupffer cell","Ptprc","Mrc1","CD45","Cell-Cell Contact",0.792850039516132,0.364333494945574,2.17616565733154,1.10569740158306,0.499115507310167,2.21531366064317,0.312847362066926,1.10569740158306,"Fibroblast / stellate -> Kupffer cell"
"Fibroblast / stellate","Kupffer cell","Col4a1","Cd44","COLLAGEN","ECM-Receptor",2.14338599453805,1.49399434609466,1.43466807631563,1.83065755836135,1.32031849152513,1.38652724332197,-0.312728436176702,2.14338599453805,"Fibroblast / stellate -> Kupffer cell"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","App","Sorl1","APP","Cell-Cell Contact",0.987874403149521,1.94126929343418,0.508880661993026,1.30057557012057,2.08352256117727,0.624219576190093,0.312701166971049,1.30057557012057,"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like"
"Fibroblast / stellate","Kupffer cell","Fn1","Sdc4","FN1","ECM-Receptor",0.126336278498796,0.849026779260754,0.148801288233566,0.435216830091137,1.06585617827287,0.408326037755269,0.308880551592341,0.435216830091137,"Fibroblast / stellate -> Kupffer cell"
"Fibroblast / stellate","Endothelial","Vegfa","Kdr","VEGF","Secreted Signaling",0.432739046373515,0.177684288031202,2.43543788349776,0.124235453370259,0.0828495502482744,1.49953081215243,-0.308503593003257,0.432739046373515,"Fibroblast / stellate -> Endothelial"
"Fibroblast / stellate","Kupffer cell","Icam1","Itgal","ICAM","Cell-Cell Contact",0.217886664263167,0.21721484498164,1.00309287922556,0.524203511770732,0.567814099686952,0.923195658684307,0.306316847507565,0.524203511770732,"Fibroblast / stellate -> Kupffer cell"
"Kupffer cell","Inflammatory neutrophil","Ccl5","Ccr1","CCL","Secreted Signaling",2.35432316931071,1.14632273503975,2.05380482943058,2.65916912380272,1.21918957930961,2.18109567940084,0.304845954492005,2.65916912380272,"Kupffer cell -> Inflammatory neutrophil"
"Monocyte-derived macrophage / DC-like","T cell","Sirpb1c","Cd47","SIRP","Cell-Cell Contact",0.566278521016506,0.539910507075378,1.04883774921137,0.263448351473655,0.288762141909433,0.912336879521699,-0.302830169542852,0.566278521016506,"Monocyte-derived macrophage / DC-like -> T cell"
"Kupffer cell","Endothelial","Lgals9","Ighm","GALECTIN","Secreted Signaling",0.300339821398965,0.743643692626599,0.403875974982246,0.595033152127766,0.865136180901777,0.687791315706542,0.2946933307288,0.595033152127766,"Kupffer cell -> Endothelial"
"Fibroblast / stellate","Endothelial","Pros1","Mertk","PROS","Secreted Signaling",0.477675781165332,0.472723161637057,1.01047678626773,0.189470201034825,0.410873122840752,0.461140411728174,-0.288205580130507,0.477675781165332,"Fibroblast / stellate -> Endothelial"
"Fibroblast / stellate","Endothelial","Vegfc","Kdr","VEGF","Secreted Signaling",0.553196678394947,0.227144647023578,2.43543788349776,0.270219966408848,0.180203010314255,1.49953081215243,-0.2829767119861,0.553196678394947,"Fibroblast / stellate -> Endothelial"
"Monocyte-derived macrophage / DC-like","NK cell","Ccl6","Ccr2","CCL","Secreted Signaling",0.984624329662034,1.86059226624406,0.529199410061871,0.707404639049141,1.73418214794081,0.407918303097009,-0.277219690612893,0.984624329662034,"Monocyte-derived macrophage / DC-like -> NK cell"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Cxcl12","Cxcr4","CXCL","Secreted Signaling",0.872922104558777,1.03936405472083,0.839861741027057,0.598044842598915,0.68899999509128,0.867989618083647,-0.274877261959863,0.872922104558777,"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like"
"Fibroblast / stellate","Kupffer cell","Col6a2","Sdc4","COLLAGEN","ECM-Receptor",0.188164091028576,1.26453267483292,0.148801288233566,0.45879416924102,1.12359763233125,0.408326037755269,0.270630078212443,0.45879416924102,"Fibroblast / stellate -> Kupffer cell"
"Inflammatory neutrophil","Endothelial","Sell","Podxl","SELL","Cell-Cell Contact",0.807166923684682,1.82040832436168,0.44339883139554,0.536719784523224,1.51985318028345,0.353139231792853,-0.270447139161458,0.807166923684682,"Inflammatory neutrophil -> Endothelial"
"Kupffer cell","Inflammatory neutrophil","Selplg","Sell","SELPLG","Cell-Cell Contact",1.05225835934741,0.57803424938544,1.82040832436168,0.788800806423843,0.518998029978613,1.51985318028345,-0.263457552923568,1.05225835934741,"Kupffer cell -> Inflammatory neutrophil"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Spp1","Cd44","SPP1","Secreted Signaling",0.617921422381543,0.673889262772211,0.916948015820241,0.878483482511059,0.810287948619687,1.08416209818688,0.260562060129515,0.878483482511059,"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like"
"Fibroblast / stellate","Kupffer cell","Fn1","Cd44","FN1","ECM-Receptor",1.21807161614248,0.849026779260754,1.43466807631563,1.47783862863838,1.06585617827287,1.38652724332197,0.259767012495896,1.47783862863838,"Fibroblast / stellate -> Kupffer cell"
