"source","target","ligand","receptor","pathway_name","annotation","expr_ligand","expr_receptor","interaction_score","group"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col6a5","Sdc4","COLLAGEN","ECM-Receptor",0.608561734582574,0.393067751519305,0.23920599267306,"APAP"
"Activated neutrophil","Endothelial","H2-D1","Cd8b1","MHC-I","Cell-Cell Contact",3.81363476868272,0.0626141139406265,0.238787361934235,"APAP"
"Kupffer cell","Endothelial","H2-D1","Cd8b1","MHC-I","Cell-Cell Contact",3.80948744160513,0.0626141139406265,0.238527680724049,"APAP"
"Fibroblast / stellate","Endothelial","Col6a1","Sdc4","COLLAGEN","ECM-Receptor",1.44143848059721,0.165056311240388,0.237918518487325,"APAP"
"Monocyte-derived macrophage / DC-like","NK cell","Clec2i","Klrb1b","CLEC","Cell-Cell Contact",0.254546637436664,0.932671513021588,0.237408397472611,"APAP"
"Monocyte-derived macrophage / DC-like","T cell","H2-Q7","Cd8b1","MHC-I","Cell-Cell Contact",0.581689374286926,0.40804664504343,0.237356397635192,"APAP"
"Activated neutrophil","Endothelial","Ccl6","Ccr1","CCL","Secreted Signaling",2.17631351840226,0.109058249798899,0.237344943330635,"APAP"
"Monocyte-derived macrophage / DC-like","NK cell","Sirpb1a","Cd47","SIRP","Cell-Cell Contact",0.208962806390094,1.11672377452478,0.233353733887237,"APAP"
"Monocyte-derived macrophage / DC-like","NK cell","Fn1","Cd44","FN1","ECM-Receptor",0.377506802127647,0.617458364245952,0.233094732533457,"APAP"
"Neutrophil","Endothelial","Lgals9","Ptprc","GALECTIN","Secreted Signaling",0.489267585519589,0.474051870153694,0.231938213921143,"APAP"
"Monocyte-derived macrophage / DC-like","NK cell","Ccl2","Ccr2","CCL","Secreted Signaling",0.566764627954676,0.407918303097009,0.231193665290679,"APAP"
"Fibroblast / stellate","Endothelial","Thbs1","Cd36","THBS","ECM-Receptor",0.208571557067399,1.10465588160528,0.230399797250074,"APAP"
"Monocyte-derived macrophage / DC-like","NK cell","Clec2d","Klrb1a","CLEC","Cell-Cell Contact",0.527729854792927,0.435090485456338,0.229610238711657,"APAP"
"Fibroblast / stellate","Kupffer cell","Col4a6","Cd44","COLLAGEN","ECM-Receptor",0.165357835624597,1.38652724332197,0.22927314399026,"APAP"
"Fibroblast / stellate","Endothelial","Lgals9","Ptprc","GALECTIN","Secreted Signaling",0.48078718324688,0.474051870153694,0.22791806336411,"APAP"
"Fibroblast / stellate","Endothelial","Col6a1","Cd44","COLLAGEN","ECM-Receptor",1.44143848059721,0.158098365543042,0.227889067813265,"APAP"
"Activated neutrophil","Endothelial","Sell","Cd34","SELL","Cell-Cell Contact",1.69106437651351,0.133847615739061,0.226344934857595,"APAP"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Angptl4","Sdc3","ANGPTL","Secreted Signaling",0.389368290759014,0.577567929594587,0.224886637543467,"APAP"
"Fibroblast / stellate","Endothelial","Jam2","Jam2","JAM","Cell-Cell Contact",0.131413048560968,1.7023685307268,0.223713438397065,"APAP"
"Fibroblast / stellate","Kupffer cell","Lama4","Cd44","LAMININ","ECM-Receptor",0.160925250804812,1.38652724332197,0.223127244379293,"APAP"
"Activated neutrophil","Endothelial","Ccl6","Ccr2","CCL","Secreted Signaling",2.17631351840226,0.101981031475012,0.221942697419676,"APAP"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Pros1","Axl","PROS","Secreted Signaling",0.410873122840752,0.533731218674819,0.219295812574523,"APAP"
"Fibroblast / stellate","Kupffer cell","Col4a5","Sdc4","COLLAGEN","ECM-Receptor",0.535609361742849,0.408326037755269,0.218703248465086,"APAP"
"Fibroblast / stellate","Endothelial","Col4a1","Sdc4","COLLAGEN","ECM-Receptor",1.32031849152513,0.165056311240388,0.21792689987361,"APAP"
