sample_id,group,celltype_manual,n_cells,Neutrophil_inflammation1_mean,Chemokine_recruitment1_mean,IL1_TNF_inflammatory1_mean,IFN_response1_mean,Antigen_presentation1_mean,Kupffer_resident_identity1_mean,Phagocytosis_efferocytosis1_mean,Tissue_repair_ECM1_mean,Endothelial_activation1_mean,ROS_degranulation1_mean,T_NK_activation1_mean,Anti_inflammatory_repair1_mean
AP-300-3,APAP,Endothelial,826,0.03030499722002955,-0.048266776847451384,0.11989346766832386,0.054680864432229366,0.7833400439034865,-0.02877804911582728,0.18950861026319543,-0.03300162010520337,0.6398963640063818,0.0031372037539075027,-0.22995088987166595,0.012007083197388316
AP-300-3,APAP,Fibroblast / stellate,64,-0.029508318931228864,-0.06207231719873727,0.05679733940381055,0.022823119051432007,0.6833759592188885,-0.07311356524061677,0.22342950124069458,0.7732640130009589,-0.023198196737761315,0.008217754702234167,-0.2055515947392903,-0.08836120229088652
AP-300-3,APAP,Inflammatory neutrophil,2288,1.781064772980304,0.2945414232582184,0.632174255422136,0.06996088422579157,0.7250978317129081,-0.018316642226687132,-0.04121487349851832,0.08368741617100896,-0.04926397881689818,0.13847910180762651,-0.16939273609535793,0.023359652197291275
AP-300-3,APAP,Kupffer cell,347,0.12662039217268467,0.06881425312621038,0.12192596804374232,0.162701927733583,1.2536048802043578,2.0349939670823667,0.3389157274364177,0.03953639721498716,0.19336407190665605,0.4454095782354612,-0.23520714876232768,1.1313252616988438
AP-300-3,APAP,Monocyte-derived macrophage / DC-like,606,0.12224581389024712,0.2615230090346899,0.18406416675463388,0.1815227506602487,1.6621338416461489,0.18308655883832348,0.051737047249300915,0.08830396569232464,-0.07775432109765748,0.41049080243289165,-0.3813540473189364,0.28091249264410395
AP-300-3,APAP,NK cell,1186,0.06125785139733362,0.3096197571528383,-0.04269887831212311,-0.09432835639434646,0.8605136550222935,-0.039300456279456046,-0.06393015078871857,-0.0781882870754705,-0.05674304133383632,-0.0975605523071767,1.0425788403906004,-0.11002569120524229
AP-300-3,APAP,Neutrophil,166,1.873921076292947,0.059222939503133586,0.06496353781097182,0.05264935077429523,0.839777698320637,-0.010144811224119019,-0.041145553702447164,0.14087107385887157,-0.054438929307001276,0.2924832187731221,-0.04325644938498157,0.20695326366777025
AP-300-3,APAP,T cell,3595,-0.10290325188395848,-0.03472355229905181,-0.042207351298778964,-0.09110171585524819,0.7412972048597917,-0.03770813027836149,-0.05759576214765781,-0.09315079920483624,-0.055393286503355905,-0.10876653569032399,0.26710745155007004,-0.11441776266242801
con1,Control,Activated neutrophil,39,1.2806579020539846,0.030132763959652906,0.41817690050462336,0.014403837945433505,1.5110851526818787,-0.052196186975758445,-0.0747577803514015,-0.006119515426366228,-0.04969529277842144,0.16888998168875458,-0.25137353027159415,-0.04906196300489947
con1,Control,B cell,760,-0.22638178638162496,-0.1284917537737563,-0.09342191243113242,-0.09356247060585265,1.5779423736973122,-0.06601758917829459,-0.06855193067089102,-0.12323545512206532,-0.04199834047066688,0.040939601458026706,-0.07322016985543608,-0.14287743089548507
