sample_id,group,myeloid_subtype,n_cells,Kupffer_resident_score1_mean,Monocyte_derived_Mph_score1_mean,Inflammatory_Mph_score1_mean,Injury_response_Mph_score1_mean,Neutrophil_score1_mean,Activated_neutrophil_score1_mean,Interferon_response_score1_mean,Antigen_presentation_score1_mean,Neutrophil_inflammation1_mean,Chemokine_recruitment1_mean,IL1_TNF_inflammatory1_mean,IFN_response1_mean,Antigen_presentation1_mean,Kupffer_resident_identity1_mean,Phagocytosis_efferocytosis1_mean,Tissue_repair_ECM1_mean,Endothelial_activation1_mean,ROS_degranulation1_mean,T_NK_activation1_mean,Anti_inflammatory_repair1_mean
AP-300-3,APAP,CCR7+ DC-like antigen-presenting myeloid,12,-0.5343424936598349,-0.5101291345511072,0.06590968307883108,-0.1144503241207776,-0.1449514718674733,-0.5382181424145611,-0.19003418294829302,2.4219885352022152,-0.14109911624064844,0.2179327052572758,-0.10476863199086973,-0.10297556346048856,2.0616181423315902,-0.49076557774324314,-0.09935007147816435,-0.04824517322558469,-0.02529131715498779,0.07768576598018698,0.10801746570106674,-0.35774915319604167
AP-300-3,APAP,Cycling neutrophil,18,0.411818956269243,0.4993294283590837,-0.11791743827843534,0.554655150150617,1.2948295301514257,-0.4567238030879423,-0.17454927711835339,0.4165423857642845,0.7795963188246086,-0.13083830078919872,-0.18681004957415864,-0.06703365164775514,0.6927238436518328,0.41369808163718885,0.12576334088642474,-0.0021012524332011573,0.07020143430560913,0.5590706944750969,-0.11431347505692596,0.3636941205473027
AP-300-3,APAP,DC-like antigen-presenting myeloid,248,-0.5492003828752647,0.08635124806684379,0.16911104219474793,0.053351522597328276,-0.19722025346818056,-0.42105037057947975,-0.23715547345677696,2.2066937744914097,-0.1154693787668148,0.06683450603603193,-0.098299845288267,-0.01132648554937928,1.7552890887827632,-0.4957296942369997,-0.07256804225942916,0.06086464012850128,-0.0649690625796021,0.16773423055234288,-0.08094909552263209,-0.2681765986315142
AP-300-3,APAP,IFN-responsive inflammatory neutrophil,108,-0.4394731950107643,-0.16939436654419737,1.1334402769149208,0.1106035832472672,1.4515190874033093,1.2955657432347627,0.5535826890461684,0.13458238987947524,1.5630320179675867,0.19305384808540021,0.5117796434059037,0.5425143294253434,0.7068101673970849,-0.37925939117596874,-0.04694754664757204,0.039808010777620924,-0.01155077685351565,-0.0010426672973491945,0.008245279950368917,-0.2142572588235365
AP-300-3,APAP,Inflammatory neutrophil,2004,-0.42257351404267807,-0.2841407787774754,0.9451700108575892,0.04691304410983116,1.5711284925364097,1.0892303063891258,-0.1807080672389289,0.13209447227871585,1.5606217035594458,0.1616519165998522,0.37959831835674945,-0.06965281731737982,0.6348826279123957,-0.3652837376277383,-0.05217393080513794,0.024426114772353933,-0.013419102125937419,-0.022959991014629023,0.08829084703255836,-0.23011575715138682
AP-300-3,APAP,Mature neutrophil,125,-0.3585110633972266,0.6377547157298253,0.02475620583533604,0.23278476338177867,2.9077612215109894,-0.03579615612810559,-0.19213727510026188,0.43337599597025206,1.9886175735519074,-0.03694259227423516,-0.05823151073125594,-0.023460615250674645,0.7197005353899582,-0.3110147349860576,-0.056763511996793324,0.15749132484640352,-0.022169246665096162,0.20829417491344485,0.10543685268438376,0.02551020708652553
AP-300-3,APAP,Monocyte-derived macrophage,82,-0.5539842611078875,1.1960954060704927,0.07703973126478451,0.5918707630087081,-0.13419935310932377,-0.33397287036971524,-0.22280369914157552,0.5969328424455624,-0.08250016282782624,0.04061844022356938,-0.13526566619990138,0.050095275793309926,0.8843634604462349,-0.4787959607828463,-0.020234224944144005,0.13047125374472365,-0.04058511585937931,0.36129206920583695,-0.07745056934900112,-0.1636434019223666
AP-300-3,APAP,Neutrophil with erythroid/ambient signal,11,-0.40481088618501904,-0.22660840626543285,0.7171360931704727,0.006481763959377214,1.6121190866382684,0.9719560163396607,-0.3001946607096424,0.11076998510548822,1.535396876669943,0.08016815225496637,0.32845163301038793,-0.14589886686235912,0.6064317945890024,-0.3504173324139535,-0.045966872073333845,0.049175129253672234,0.003103314970903256,0.04518721405258866,0.004224583385729001,-0.20803093581383422
AP-300-3,APAP,Possible doublet / hepatocyte ambient-contaminated neutrophil,33,-0.4341384770599044,-0.31225490679023965,0.9454418961667747,0.25487809695459857,1.5852054881862938,1.0472177392092965,-0.19652490197665115,0.20675060349217236,1.590475106415001,0.1965145895680298,0.335701203680126,-0.07410806615845164,0.6545218322028985,-0.37624268528177074,-0.036233672699342835,0.06743009707647259,-0.015413380035603538,-0.003289374748104072,0.0522462252617174,-0.2227287585018332
AP-300-3,APAP,Rare injury-associated macrophage-like cells,4,1.0135004653402278,0.3579979719198278,0.880517677389628,0.9975896497074026,-0.176320278797961,0.8001096836720545,-0.2726268569295494,0.42822912909108724,0.3297905213325374,0.6218652532126578,0.06902468868620881,-0.08394144788430455,0.8996969263466796,1.0389075835306611,0.18553853292393302,0.21897944098650451,0.14529900763724096,0.42230412635183234,0.10093696477048235,0.4368385439574075
AP-300-3,APAP,Resident Kupffer cell,316,1.8183698784985374,0.09872159432506998,-0.01436772630666547,1.334100389537404,-0.006012030273635415,-0.17071448134115816,-0.04039795836323032,1.000693275789163,-0.03562502832749831,-0.04765024657618252,-0.09841924344837015,0.044144529303571996,1.1796619348803792,1.7376168565717216,0.3353667790169658,-2.5429035452059117e-4,0.2452892774982021,0.32172117022728997,-0.009050683497680574,0.9150030623187464
